id,data,bezeroa,hiria,produktua,kategoria,prezioa,unitateak
5008,2025-04-08,Noemí del Santiago,Navarra,Teklatua,Periferikoak,1973.61,8
5009,2025-12-20,Salomón Luján Vizcaíno,Huelva,Teklatua,Periferikoak,1961.37,5
5010,2025-07-17,Máxima Martirio Nogueira Iriarte,Lleida,Bideratzailea,Sareak,77.0,7
5011,2025-07-23,Xavier Priego Portillo,Murcia,Monitorea,Periferikoak,599.4,6
5012,2026-04-14,Constanza Valenciano Valderrama,Las Palmas,SSD diskoa,Osagaiak,1242.79,6
5013,2025-01-25,Emiliano del Cazorla,Zaragoza,Mini PC,Ordenagailuak,214.54,3
5014,2025-06-29,José Mari Menendez-Campos,Badajoz,SSD diskoa,Osagaiak,793.2,9
5015,2025-07-15,Lupita Barreda Perelló,Cantabria,Prozesadorea,Osagaiak,1353.46,2
5016,2024-11-19,Francisco Jose Rosa,Badajoz,Txartel grafikoa,Osagaiak,1841.0,3
5017,2025-09-28,Cecilia Martinez Melero,Ourense,Switch-a,Sareak,917.21,3
5018,2026-04-08,Jose Antonio Pinto Benitez,Navarra,RAM memoria,Osagaiak,1809.21,6
5019,2026-01-23,Úrsula Llano,Baleares,Sagua,Periferikoak,1304.9,6
5020,2025-05-04,Jacinta Meléndez,Cuenca,Bideratzailea,Sareak,1777.57,4
5021,2025-01-12,Aránzazu Torrens Olivera,Guipúzcoa,Sare-kablea,Sareak,998.75,10
5022,2025-07-01,Viviana Herrero,Córdoba,Ordenagailu eramangarria,Ordenagailuak,678.15,2
5023,2025-12-04,Flavio Millán-Bermejo,Girona,Ordenagailu eramangarria,Ordenagailuak,760.16,9
5024,2025-03-15,Dionisia de Batlle,Vizcaya,Bideratzailea,Sareak,1378.57,1
5025,2025-03-26,Evaristo Maza Morell,Ciudad,Sare-kablea,Sareak,1416.44,3
5026,2024-12-03,Francisca Bustos Llorente,Soria,Ordenagailu eramangarria,Ordenagailuak,782.87,5
5027,2025-06-07,Corona Expósito Talavera,Melilla,Mahaigaineko ordenagailua,Ordenagailuak,19.92,10
5028,2025-02-18,Maxi Tur Velázquez,Álava,Mini PC,Ordenagailuak,16.62,2
5029,2025-09-10,Nando Martínez Ochoa,Granada,Monitorea,Periferikoak,207.35,10
5030,2025-05-20,Kike Torrecilla,Jaén,Teklatua,Periferikoak,1962.59,3
5031,2025-08-01,Telmo Villar Ayala,Ciudad,Bideratzailea,Sareak,788.69,5
5032,2026-06-12,Clímaco Alvarado Angulo,Albacete,SSD diskoa,Osagaiak,1486.49,5
5033,2025-05-30,Aitor de Pina,Córdoba,Monitorea,Periferikoak,1465.92,2
5034,2025-10-02,Julia Gual,Almería,Ordenagailu eramangarria,Ordenagailuak,368.63,7
5035,2026-02-27,Sancho Saura Español,Castellón,Txartel grafikoa,Osagaiak,459.54,10
5036,2024-11-06,Camilo Polo,Guipúzcoa,Teklatua,Periferikoak,538.59,4
5037,2025-02-24,Celestino Ripoll Paz,Palencia,Sagua,Periferikoak,112.97,6
5038,2026-08-26,Josefina Falcó-Mayoral,Badajoz,RAM memoria,Osagaiak,1391.84,6
5039,2025-04-28,América Pino Barrio,Salamanca,Sare-kablea,Sareak,325.59,5
5040,2026-02-17,Efraín Herrera Carbó,Girona,Ordenagailu eramangarria,Ordenagailuak,1625.8,10
5041,2026-02-17,Flavia Rivas Menéndez,Segovia,Ordenagailu eramangarria,Ordenagailuak,1434.46,5
5042,2025-08-02,Hilario Castejón Español,Cantabria,SSD diskoa,Osagaiak,422.46,8
5043,2025-10-21,Esther Ámbar Mas Pedrero,Burgos,SSD diskoa,Osagaiak,135.82,8
5044,2026-06-19,Carmen Lillo Salgado,Huelva,Webkamera,Periferikoak,755.4,2
5045,2025-10-04,Nerea Mínguez,Cantabria,RAM memoria,Osagaiak,881.62,7
5046,2025-06-04,Amparo Gallo Bernat,Ávila,Switch-a,Sareak,266.8,2
5047,2025-03-06,Leire Palacio,Segovia,SSD diskoa,Osagaiak,370.9,5
5048,2026-03-16,Seve Narváez,Soria,Monitorea,Periferikoak,1550.58,5
5049,2025-12-19,Chus Castejón,Burgos,SSD diskoa,Osagaiak,1781.36,4
5050,2025-12-22,Francisco Ibarra,Cádiz,Ordenagailu eramangarria,Ordenagailuak,725.8,8
5051,2026-02-02,Ruperto Goyo Rivera Almazán,Murcia,RAM memoria,Osagaiak,1995.95,5
5052,2024-12-07,Juanita Montesinos Ribes,Albacete,Bideratzailea,Sareak,1365.9,1
5053,2026-05-15,Chuy Calderon Chaves,Palencia,SSD diskoa,Osagaiak,1973.46,2
5054,2024-12-03,María Vigil Gomez,Cantabria,RAM memoria,Osagaiak,1142.45,5
5055,2025-04-03,Celestino Recio Gual,La Rioja,Mini PC,Ordenagailuak,1533.16,2
5056,2025-04-04,Wálter Taboada,Guipúzcoa,Teklatua,Periferikoak,551.41,2
5057,2025-09-15,Leire Vall Antúnez,Soria,Bideratzailea,Sareak,1313.45,10
5058,2025-02-22,Lupe Martín Estrada,Cádiz,Mini PC,Ordenagailuak,1410.5,4
5059,2025-06-10,Hipólito Armas-Galiano,Teruel,Webkamera,Periferikoak,1689.94,10
5060,2024-11-26,Isidora Blanch Sanz,Cádiz,RAM memoria,Osagaiak,1445.7,2
5061,2025-04-26,Bernardita Santiago Soria,Santa Cruz de Tenerife,Sagua,Periferikoak,1295.48,1
5062,2026-06-27,Inés Luís Almeida,Álava,Txartel grafikoa,Osagaiak,1047.77,2
5063,2024-10-03,Isa del Pou,Sevilla,Teklatua,Periferikoak,1171.82,2
5064,2025-11-08,Elena Porcel Carranza,Ciudad,Teklatua,Periferikoak,1230.89,1
5065,2025-01-05,Gerardo Navarro Carbajo,Guadalajara,Mini PC,Ordenagailuak,1562.5,4
5066,2025-02-24,Cosme Daza,Alicante,Switch-a,Sareak,1038.99,10
5067,2025-07-19,Leyre Roselló Peinado,Castellón,Bideratzailea,Sareak,187.49,3
5068,2024-11-06,Felicidad Blasco Mayol,Lleida,Ordenagailu eramangarria,Ordenagailuak,1616.78,7
5069,2026-02-05,Reinaldo Cornelio Bermudez Alfaro,Huelva,Webkamera,Periferikoak,1019.8,1
5070,2026-02-02,Jerónimo Murillo Ribas,Navarra,SSD diskoa,Osagaiak,1127.49,10
5071,2025-12-11,Teófila Vázquez Marí,Córdoba,Switch-a,Sareak,390.12,5
5072,2026-04-08,Raimundo Cadenas Domingo,Teruel,Webkamera,Periferikoak,97.54,3
5073,2026-03-30,Asunción Arribas,Almería,Mini PC,Ordenagailuak,1181.92,10
5074,2025-05-13,Ramón Baldomero Manzanares Abril,Zamora,Ordenagailu eramangarria,Ordenagailuak,1148.44,1
5075,2026-02-19,Jose Llamas-Cuéllar,Ceuta,Mahaigaineko ordenagailua,Ordenagailuak,526.9,3
5076,2026-05-03,Jaime Borja Montero Lasa,Tarragona,RAM memoria,Osagaiak,589.43,4
5077,2024-10-03,Bernardino Edmundo Amo Blanes,Girona,Wi-Fi egokigailua,Sareak,288.47,4
5078,2025-10-14,Pili Estevez Santamaria,Málaga,Switch-a,Sareak,44.72,2
5079,2025-01-22,Ruben Rodrigo Plana Porta,Córdoba,Ordenagailu eramangarria,Ordenagailuak,1601.98,9
5080,2025-12-09,Abigaíl Cuéllar Aguiló,Palencia,Mini PC,Ordenagailuak,36.77,7
5081,2025-06-12,Severo Monreal Berenguer,Lugo,SSD diskoa,Osagaiak,1334.27,4
5082,2025-08-11,Nico Ordóñez Frías,Madrid,Mini PC,Ordenagailuak,975.0,9
5083,2024-10-31,Joaquín del Ojeda,Cádiz,Wi-Fi egokigailua,Sareak,411.59,2
5084,2025-01-03,Felix Grau Heredia,Albacete,Bideratzailea,Sareak,413.23,6
5085,2025-11-18,Elena Salgado Iglesias,Cantabria,Switch-a,Sareak,148.12,6
5086,2025-12-02,Corona Manso,Cáceres,Ordenagailu eramangarria,Ordenagailuak,849.83,7
5087,2024-11-26,Vasco Curro Alemán Andreu,Segovia,SSD diskoa,Osagaiak,1421.72,2
5088,2024-11-18,Micaela Noriega Ferrández,Las Palmas,Txartel grafikoa,Osagaiak,185.26,7
5089,2025-07-26,Fidel Blanco,Guadalajara,Sagua,Periferikoak,381.65,3
5090,2025-01-03,Noelia Gascón Mendizábal,Toledo,RAM memoria,Osagaiak,1692.91,10
5091,2026-04-03,Cloe Jaume-Ramos,León,Sare-kablea,Sareak,650.7,4
5092,2025-06-03,Nicanor Valderrama Abad,Girona,Prozesadorea,Osagaiak,1960.55,5
5093,2025-01-06,Felix Lucas Armas,Granada,Mahaigaineko ordenagailua,Ordenagailuak,947.64,4
5094,2026-06-30,Vilma Múñiz Alcaraz,La Coruña,Ordenagailu eramangarria,Ordenagailuak,295.63,1
5095,2026-01-12,Aurora Iriarte-Calatayud,Soria,SSD diskoa,Osagaiak,261.48,10
5096,2025-02-17,Emma Diego Sobrino,Toledo,Bideratzailea,Sareak,388.51,5
5097,2026-08-12,Guillermo Torrecilla,Málaga,Webkamera,Periferikoak,1256.55,8
5098,2025-07-05,Guadalupe Vilaplana Real,Álava,Teklatua,Periferikoak,1420.29,4
5099,2024-12-29,Remedios Mar Cepeda Busquets,Álava,RAM memoria,Osagaiak,1317.53,8
5100,2025-12-08,Andrea Martin Luna,Murcia,Mahaigaineko ordenagailua,Ordenagailuak,249.39,8
5101,2025-07-29,Hipólito Arnaiz Gallardo,Palencia,Monitorea,Periferikoak,1420.19,7
5102,2026-05-14,Vanesa Espejo,Málaga,Mahaigaineko ordenagailua,Ordenagailuak,1164.4,7
5103,2025-05-05,Renato Alba Pinto,Asturias,Mini PC,Ordenagailuak,1921.47,10
5104,2025-12-21,Cayetano Navas,Melilla,Prozesadorea,Osagaiak,1870.7,9
5105,2026-04-28,Héctor Alcolea Feijoo,Teruel,Sagua,Periferikoak,589.94,8
5106,2024-11-20,Bruno Somoza Garcia,Segovia,Ordenagailu eramangarria,Ordenagailuak,1856.29,9
5107,2026-01-03,Odalys Cabanillas Chaparro,Alicante,Webkamera,Periferikoak,317.18,4
5108,2026-04-23,Gilberto de Girón,Ourense,Mini PC,Ordenagailuak,1269.86,6
5109,2024-12-10,Dionisio Valencia Soria,Murcia,Mini PC,Ordenagailuak,942.77,3
5110,2025-10-31,Gema Río Crespi,La Coruña,Bideratzailea,Sareak,1305.7,5
5111,2024-12-28,Rufina Raya Mulet,Granada,SSD diskoa,Osagaiak,1410.33,9
5112,2025-05-29,Conrado Alvarez-Quintana,Albacete,Sare-kablea,Sareak,1086.8,5
5113,2026-05-07,Maura Beatriz Vega Saavedra,Almería,Sagua,Periferikoak,1731.75,9
5114,2024-11-08,Reynaldo Acuña Villaverde,Ciudad,Mini PC,Ordenagailuak,452.74,2
5115,2026-07-11,Olalla Carmona-Benet,Palencia,Webkamera,Periferikoak,515.24,1
5116,2026-09-20,Primitiva Losa Nicolás,Girona,Monitorea,Periferikoak,494.21,8
5117,2026-05-19,Carina Aguado-Cifuentes,Segovia,Mahaigaineko ordenagailua,Ordenagailuak,1565.14,7
5118,2026-01-29,Clotilde Real-Escamilla,Almería,Mini PC,Ordenagailuak,1522.67,6
5119,2026-08-14,Cruz Cazorla Hernandez,Cantabria,Mahaigaineko ordenagailua,Ordenagailuak,33.94,6
5120,2026-02-25,Antonio Alejo Herrero Tamarit,Cáceres,Switch-a,Sareak,853.93,6
5121,2024-12-22,Belen Palomino Gallo,Ávila,Webkamera,Periferikoak,484.4,8
5122,2026-09-19,Hernán Luna Lobo,La Rioja,Mini PC,Ordenagailuak,567.61,2
5123,2025-01-26,América Rosa María Cabrera Barral,Pontevedra,Prozesadorea,Osagaiak,1929.43,9
5124,2026-02-06,Leoncio Pedrero Zaragoza,Baleares,Teklatua,Periferikoak,197.36,7
5125,2024-12-29,Diana Nebot Puerta,Málaga,Mini PC,Ordenagailuak,35.12,5
5126,2025-10-21,Osvaldo Herrera Navarro,Ceuta,Ordenagailu eramangarria,Ordenagailuak,822.63,7
5127,2024-10-29,Arcelia Puerta Escolano,Melilla,Wi-Fi egokigailua,Sareak,1788.59,9
5128,2026-08-24,Angélica de Gras,Madrid,Sare-kablea,Sareak,1535.5,6
5129,2024-10-03,Jordi Guerrero-Abellán,Cádiz,Mini PC,Ordenagailuak,342.12,4
5130,2026-02-20,Simón José Mari Duque Merino,Valencia,Mahaigaineko ordenagailua,Ordenagailuak,1516.29,1
5131,2026-04-01,Graciano Loreto Sobrino Martin,Zamora,Monitorea,Periferikoak,1157.52,4
5132,2025-11-21,Ricardo Almazán Bravo,La Rioja,Sagua,Periferikoak,510.35,6
5133,2024-11-07,Martin Pascual Borrell,Cantabria,Mini PC,Ordenagailuak,94.27,1
5134,2026-04-13,Andrea Tapia Acosta,Tarragona,Bideratzailea,Sareak,799.87,7
5135,2026-06-10,Rómulo Onofre Cerdá Anguita,Barcelona,Monitorea,Periferikoak,1578.66,2
5136,2025-10-19,Georgina Chaves-Gonzalo,Córdoba,Mahaigaineko ordenagailua,Ordenagailuak,119.41,6
5137,2025-01-05,Josep Reyes Serra Donoso,Zamora,Switch-a,Sareak,1603.73,7
5138,2026-01-11,Calista Amigó Benavente,Álava,SSD diskoa,Osagaiak,1201.86,5
5139,2025-09-07,Toni Ferrer Bayo,Asturias,Mahaigaineko ordenagailua,Ordenagailuak,119.89,7
5140,2026-09-15,Águeda Peña,León,Switch-a,Sareak,209.89,9
5141,2026-04-21,Concepción Oliva-Vilanova,Toledo,Teklatua,Periferikoak,1657.39,8
5142,2026-04-15,Nélida Saura Borja,La Rioja,Mahaigaineko ordenagailua,Ordenagailuak,800.44,7
5143,2024-12-06,Estela Prats Porta,Lleida,Teklatua,Periferikoak,691.58,2
5144,2026-05-17,Alejo Urrutia Alemán,Melilla,Mini PC,Ordenagailuak,1350.2,6
5145,2026-04-05,Ileana Trujillo-Estevez,Cádiz,SSD diskoa,Osagaiak,1482.43,3
5146,2025-08-26,Félix Anaya Gámez,Huelva,Monitorea,Periferikoak,1101.6,9
5147,2024-11-10,Nerea Villalonga Feijoo,Córdoba,Switch-a,Sareak,578.18,3
5148,2025-10-23,Berto Casals,Asturias,Switch-a,Sareak,453.74,9
5149,2024-10-01,Enrique Aguilera Asenjo,Madrid,Txartel grafikoa,Osagaiak,710.7,5
5150,2024-12-10,Alfonso Urbano Nicolau Roselló,Valencia,Ordenagailu eramangarria,Ordenagailuak,308.45,8
5151,2024-10-21,Amalia María Jesús Morcillo Barbero,Soria,Sare-kablea,Sareak,1511.77,10
5152,2025-04-10,Hector Bayo,Melilla,Ordenagailu eramangarria,Ordenagailuak,1578.66,7
5153,2025-10-16,Cecilia del Cañas,Palencia,Webkamera,Periferikoak,167.52,4
5154,2026-08-21,Vicenta Batlle Sarabia,Guadalajara,Switch-a,Sareak,1229.52,10
5155,2026-08-06,Omar Planas Cabezas,Cuenca,Webkamera,Periferikoak,1899.69,9
5156,2026-01-27,Atilio Chacón-Jordá,Cáceres,Mahaigaineko ordenagailua,Ordenagailuak,1545.6,1
5157,2024-10-21,Rosaura del Nebot,Alicante,Monitorea,Periferikoak,885.2,5
5158,2026-06-01,Anita del Salamanca,Albacete,Teklatua,Periferikoak,467.73,2
5159,2025-10-12,Isidoro Lopez Berrocal,Cáceres,Prozesadorea,Osagaiak,212.3,5
5160,2025-02-25,Leandro Benavides Mercader,Girona,Webkamera,Periferikoak,367.39,8
5161,2026-02-07,Rómulo Pallarès,Valladolid,Switch-a,Sareak,446.52,3
5162,2026-07-24,Amado de Herranz,Guadalajara,Wi-Fi egokigailua,Sareak,639.5,9
5163,2026-05-03,Ricardo de Barros,Pontevedra,Monitorea,Periferikoak,611.76,7
5164,2024-12-07,Rosario Fabra Barceló,Ourense,Bideratzailea,Sareak,1178.79,2
5165,2025-07-10,Anabel Solana Aliaga,Baleares,Teklatua,Periferikoak,1545.5,4
5166,2025-07-15,Feliciano Tolosa Puga,Asturias,Teklatua,Periferikoak,1492.8,10
5167,2025-01-06,Fulgencio Santiago Nuñez,Albacete,Ordenagailu eramangarria,Ordenagailuak,1651.7,5
5168,2025-04-12,Inmaculada Piña Gárate,Huesca,Webkamera,Periferikoak,1839.2,8
5169,2025-08-06,Aitor Céspedes Carballo,Guadalajara,Sagua,Periferikoak,1689.71,4
5170,2025-05-15,Albina Carpio González,Teruel,Mahaigaineko ordenagailua,Ordenagailuak,1443.94,1
5171,2025-02-05,Carmelo Lorenzo,Vizcaya,Switch-a,Sareak,470.82,8
5172,2026-07-25,Leandra Tamarit Lillo,Jaén,Wi-Fi egokigailua,Sareak,423.23,5
5173,2026-08-31,José Antonio Epifanio Costa Riquelme,Madrid,Mahaigaineko ordenagailua,Ordenagailuak,740.6,5
5174,2026-04-26,Evelia Saavedra,La Coruña,Wi-Fi egokigailua,Sareak,755.11,10
5175,2025-04-14,Margarita Herranz Lara,Murcia,RAM memoria,Osagaiak,1740.83,10
5176,2024-11-29,Bienvenida Español Vázquez,Castellón,Monitorea,Periferikoak,225.11,9
5177,2025-09-09,Dalila Jover Bayo,Girona,Sare-kablea,Sareak,1367.62,8
5178,2025-08-14,Reyes Figueras Salinas,Albacete,Sagua,Periferikoak,142.67,9
5179,2026-06-08,Jose Ramón Torrecilla Ripoll,La Rioja,Sare-kablea,Sareak,902.85,5
5180,2026-08-19,Noelia Anglada Morata,Murcia,SSD diskoa,Osagaiak,831.22,3
5181,2025-07-16,Rolando Ramírez-Murillo,Murcia,Mini PC,Ordenagailuak,833.4,2
5182,2025-03-12,Amílcar Marcos Bellido,Teruel,Sagua,Periferikoak,1292.78,9
5183,2025-12-23,Pilar del Verdú,Guadalajara,Bideratzailea,Sareak,1890.81,5
5184,2026-05-28,Ruben Calatayud Urrutia,Zaragoza,Wi-Fi egokigailua,Sareak,1165.3,10
5185,2025-08-28,Vidal Nadal Peiró,Cádiz,Sare-kablea,Sareak,636.9,3
5186,2026-09-20,Eva María Correa Paniagua,Navarra,Webkamera,Periferikoak,1983.25,6
5187,2025-06-27,Buenaventura de Escolano,Zaragoza,Mahaigaineko ordenagailua,Ordenagailuak,1472.15,2
5188,2026-01-13,Amarilis Barreda,Ávila,SSD diskoa,Osagaiak,1235.66,1
5189,2026-03-03,Dominga del Miró,Huesca,Mahaigaineko ordenagailua,Ordenagailuak,1406.62,4
5190,2026-02-07,Carlito Escribano,Pontevedra,Teklatua,Periferikoak,390.16,2
5191,2025-07-24,Ruperta Jáuregui-Villar,Huelva,Prozesadorea,Osagaiak,1078.34,7
5192,2025-02-21,Ricarda Santana-Moles,Valladolid,Wi-Fi egokigailua,Sareak,879.18,8
5193,2026-07-13,Joan Baeza,Córdoba,Mahaigaineko ordenagailua,Ordenagailuak,808.78,9
5194,2025-06-04,María Luisa de Barriga,La Coruña,Teklatua,Periferikoak,1179.38,8
5195,2026-09-04,Brunilda Roig Manso,Toledo,SSD diskoa,Osagaiak,1033.68,10
5196,2025-01-31,Eloy Mas-Porcel,Ávila,Switch-a,Sareak,1495.67,5
5197,2026-02-07,Luis Miguel Duque Segarra,Palencia,RAM memoria,Osagaiak,1408.72,1
5198,2026-02-06,Bruno Arellano Espada,Guipúzcoa,Mini PC,Ordenagailuak,202.17,9
5199,2024-11-20,Liliana Lorenzo Antón,Girona,Teklatua,Periferikoak,1469.49,6
5200,2026-09-21,Adelia Abella Sans,Lugo,SSD diskoa,Osagaiak,163.78,1
5201,2025-02-21,Primitivo Rosa Amor,Ciudad,Mahaigaineko ordenagailua,Ordenagailuak,1561.59,9
5202,2025-03-18,Josefina Jerez Menendez,Cuenca,Sagua,Periferikoak,163.99,1
5203,2025-01-04,Lalo del Jiménez,León,Txartel grafikoa,Osagaiak,1968.61,4
5204,2026-03-23,Fabiana de Berenguer,Valencia,Mahaigaineko ordenagailua,Ordenagailuak,1565.43,10
5205,2025-10-27,Elpidio Fuster Buendía,Soria,Bideratzailea,Sareak,310.45,6
5206,2026-03-14,Omar Fuster Almansa,Murcia,Prozesadorea,Osagaiak,552.14,3
5207,2025-08-31,Javiera Barragán Sebastián,Salamanca,Sagua,Periferikoak,1728.38,5
5208,2025-05-01,Eufemia Ríos Baños,Ceuta,Teklatua,Periferikoak,770.96,7
5209,2025-02-24,Berto Martín Criado,Zaragoza,Wi-Fi egokigailua,Sareak,654.76,7
5210,2025-11-15,Ignacio Álvaro-Madrid,Málaga,RAM memoria,Osagaiak,1456.12,1
5211,2025-02-11,Manu Ochoa Vara,Barcelona,Mahaigaineko ordenagailua,Ordenagailuak,394.87,3
5212,2025-06-06,Jose Luis Belda Cortes,Granada,Switch-a,Sareak,231.95,1
5213,2025-03-14,Ruth Cámara Villalonga,Madrid,RAM memoria,Osagaiak,895.53,5
5214,2024-10-24,Sara Estefanía Acedo Caro,Sevilla,Wi-Fi egokigailua,Sareak,456.95,4
5215,2025-07-23,Luis Ángel Mínguez,Cádiz,Teklatua,Periferikoak,1827.9,2
5216,2024-09-27,Abilio Arjona Chaves,Barcelona,Bideratzailea,Sareak,740.3,3
5217,2024-10-25,Custodia Palomar-Pla,Melilla,Prozesadorea,Osagaiak,601.54,7
5218,2026-06-05,Silvestre Alcántara Briones,Lugo,Mini PC,Ordenagailuak,376.33,8
5219,2026-07-10,Palmira Armida Carro Torrens,Ourense,Teklatua,Periferikoak,1624.5,7
5220,2024-11-05,Lola Valverde Patiño,Teruel,Webkamera,Periferikoak,1600.4,3
5221,2026-08-17,Benjamín Rodriguez,Ciudad,Wi-Fi egokigailua,Sareak,113.19,5
5222,2024-10-05,Bernardino Sierra,Tarragona,Monitorea,Periferikoak,321.35,2
5223,2025-12-12,Roque Mir-Rosado,Jaén,Sare-kablea,Sareak,780.59,7
5224,2025-07-21,Emilio Daza Vazquez,Álava,Teklatua,Periferikoak,15.1,2
5225,2026-04-01,Dorotea Feijoo Salvà,Madrid,Prozesadorea,Osagaiak,40.97,8
5226,2025-09-29,Claudio Escribano Colom,Toledo,RAM memoria,Osagaiak,462.61,7
5227,2026-01-05,Trinidad Gallart Gutierrez,Guipúzcoa,Prozesadorea,Osagaiak,241.43,5
5228,2025-09-02,Flor Serrano Robles,Ávila,Ordenagailu eramangarria,Ordenagailuak,1435.83,1
5229,2024-10-07,María Belén Boix Casado,Cáceres,Mini PC,Ordenagailuak,1503.34,8
5230,2025-12-22,Eutropio Verdejo,Girona,Prozesadorea,Osagaiak,267.5,10
5231,2026-08-28,Armando del Olivera,Soria,Bideratzailea,Sareak,1333.2,9
5232,2025-06-21,Jimena Moya Cabello,Baleares,Switch-a,Sareak,1511.92,9
5233,2026-08-09,Amelia Lucas Llobet,Jaén,SSD diskoa,Osagaiak,38.13,4
5234,2025-03-21,Otilia Martí Canales,Cádiz,Mini PC,Ordenagailuak,467.2,7
5235,2026-09-17,Amalia Bastida Soriano,Ciudad,Sagua,Periferikoak,1727.62,1
5236,2024-10-28,Celia Querol Arregui,Girona,Mini PC,Ordenagailuak,1697.72,8
5237,2025-02-05,Cruz Bermúdez-Arellano,Jaén,Ordenagailu eramangarria,Ordenagailuak,1330.82,8
5238,2025-05-10,María Dolores Ofelia Abad Rovira,Granada,Bideratzailea,Sareak,1040.55,10
5239,2024-10-01,Fátima Quintana Cabrera,Valencia,Switch-a,Sareak,1132.73,3
5240,2026-02-21,Estefanía Valverde Rosa,Ceuta,Mahaigaineko ordenagailua,Ordenagailuak,1156.3,1
5241,2025-05-16,Onofre Pi,Baleares,Wi-Fi egokigailua,Sareak,1189.17,9
5242,2026-09-15,Juan Quintero Carretero,Guadalajara,Sare-kablea,Sareak,1122.55,4
5243,2026-07-14,Sabas Piña-Losa,Cádiz,Teklatua,Periferikoak,857.98,10
5244,2025-05-28,Lucía Hernandez Ballester,Cantabria,SSD diskoa,Osagaiak,1100.7,9
5245,2025-06-19,Edu del Caballero,Málaga,Wi-Fi egokigailua,Sareak,1731.29,5
5246,2026-07-28,Serafina Priscila Estrada Saez,León,Txartel grafikoa,Osagaiak,1041.26,5
5247,2025-09-21,Bruno Valls,Navarra,Ordenagailu eramangarria,Ordenagailuak,795.84,8
5248,2026-07-11,Jennifer Burgos Carreras,Ceuta,Mahaigaineko ordenagailua,Ordenagailuak,94.22,1
5249,2026-06-22,Ana Sofía Valentín Mercader,Lleida,Wi-Fi egokigailua,Sareak,221.6,10
5250,2025-09-25,Adela Alemán,Albacete,Ordenagailu eramangarria,Ordenagailuak,1800.11,4
5251,2024-11-06,Poncio Carpio Llorente,Córdoba,Prozesadorea,Osagaiak,168.11,4
5252,2024-12-12,Teresa de Conesa,Vizcaya,Txartel grafikoa,Osagaiak,1928.18,5
5253,2025-03-25,Olimpia Rivero Malo,Jaén,Teklatua,Periferikoak,1065.93,5
5254,2025-11-07,Glauco Ferrández Fábregas,Guipúzcoa,Sare-kablea,Sareak,638.62,1
5255,2025-04-24,Perla Carrera Esteve,Málaga,Ordenagailu eramangarria,Ordenagailuak,461.66,3
5256,2025-06-04,Loreto Soriano Pinedo,Barcelona,Sare-kablea,Sareak,830.52,10
5257,2025-07-02,Sonia Cruz-Seco,Soria,Ordenagailu eramangarria,Ordenagailuak,1387.64,7
5258,2025-06-10,Julio César Quique Rodrigo Pera,León,Wi-Fi egokigailua,Sareak,1234.59,8
5259,2025-09-11,Adriana Ariza,Guadalajara,Bideratzailea,Sareak,1504.52,9
5260,2025-02-11,Rosario del Gutierrez,Ourense,RAM memoria,Osagaiak,576.59,5
5261,2026-08-01,Isaac Valenzuela Vall,Guipúzcoa,Mahaigaineko ordenagailua,Ordenagailuak,111.57,4
5262,2025-04-02,Abril Palomares Cortés,Lleida,Sagua,Periferikoak,282.8,4
5263,2024-09-26,Lola Ródenas Diego,Cáceres,RAM memoria,Osagaiak,1210.84,6
5264,2026-04-14,Gisela Gibert Ballesteros,Madrid,Teklatua,Periferikoak,903.76,10
5265,2026-05-24,Rita Paola Agustín Rincón,Cantabria,Mini PC,Ordenagailuak,1361.83,2
5266,2026-03-18,Rolando del Marin,Ourense,Webkamera,Periferikoak,640.58,1
5267,2025-10-24,Lara Casanova Cantón,Valladolid,Sagua,Periferikoak,605.78,9
5268,2026-05-21,Dafne Jaén Franch,Huesca,Teklatua,Periferikoak,1991.78,5
5269,2025-07-25,Maximiano Pou Sarabia,Cuenca,Ordenagailu eramangarria,Ordenagailuak,1040.77,7
5270,2025-11-06,Amparo Blanco Huerta,Badajoz,SSD diskoa,Osagaiak,1796.5,7
5271,2024-11-08,Angélica Lina Sola Carrera,Baleares,Bideratzailea,Sareak,553.42,10
5272,2026-02-28,Jordán Bermudez Villalobos,Burgos,RAM memoria,Osagaiak,166.31,2
5273,2024-10-17,Claudio Miguel Plaza,Santa Cruz de Tenerife,Bideratzailea,Sareak,975.3,5
5274,2026-08-09,Ximena Jerez Borja,La Rioja,Mahaigaineko ordenagailua,Ordenagailuak,750.38,6
5275,2026-05-05,Duilio Fábregas Nieto,Palencia,Ordenagailu eramangarria,Ordenagailuak,854.96,5
5276,2025-06-05,Graciela Ferrer Alvarez,Jaén,Ordenagailu eramangarria,Ordenagailuak,481.65,7
5277,2025-09-30,Agustina Ballester Salom,Córdoba,Sagua,Periferikoak,671.22,6
5278,2024-11-09,Antonia Reyes-Paz,La Coruña,Mahaigaineko ordenagailua,Ordenagailuak,949.2,7
5279,2025-12-15,Julieta Vendrell Cabeza,Córdoba,Bideratzailea,Sareak,637.43,3
5280,2026-08-17,Leocadio Rosselló-Llobet,Soria,Monitorea,Periferikoak,447.44,1
5281,2026-01-25,Gabino Benitez,Alicante,Mahaigaineko ordenagailua,Ordenagailuak,1926.26,10
5282,2025-12-06,Melchor Quintero-Pascual,Vizcaya,RAM memoria,Osagaiak,301.58,2
5283,2024-10-19,Morena Marisela Calleja Duran,Vizcaya,Mahaigaineko ordenagailua,Ordenagailuak,1546.3,9
